App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<Së¢íåê›åvâûóÕ>
íåïÑçÜ,äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,Åyíåì™ÅzMx[kNm],Åyíåì™ÅzMy[kNm],ÅyíåãrÅzMx[kNm],ÅyíåãrÅzMy[kNm],Qx[kN],Qy[kN],N[kN]
C2Y,5F,B,8,V,-0.0,68.9,0.0,-47.5,0.0,-36.9,113.6,
C3Y,1F,C,1,V,0.0,40.1,-0.0,-20.7,-0.0,-17.4,1706.0,
C3Y,1F,C,3,V,1.1,-79.3,-4.8,48.9,-1.7,36.7,2349.3,
C1Y,1F,C,4,V,-0.7,-78.0,2.8,51.2,1.0,37.0,1880.4,
C1Y,1F,C,5,V,0.7,-78.0,-2.8,51.2,-1.0,37.0,1880.4,
C3Y,1F,C,6,V,-1.1,-79.3,4.8,48.9,1.7,36.7,2349.3,
C3Y,1F,C,8,V,-0.0,40.1,0.0,-20.7,0.0,-17.4,1706.0,
C3Y,2F,C,1,V,0.0,46.7,-0.1,-51.1,-0.0,-31.1,1346.9,
C3Y,2F,C,3,V,-0.3,-96.2,1.2,99.5,0.5,62.1,1843.3,
C1Y,2F,C,4,V,0.2,-97.7,-0.7,99.5,-0.3,62.6,1475.7,
C1Y,2F,C,5,V,-0.2,-97.7,0.7,99.5,0.3,62.6,1475.7,
C3Y,2F,C,6,V,0.3,-96.2,-1.2,99.5,-0.5,62.1,1843.3,
C3Y,2F,C,8,V,-0.0,46.7,0.1,-51.1,0.0,-31.1,1346.9,
C3Y,3F,C,1,V,0.0,48.7,-0.0,-45.9,-0.0,-30.0,1014.9,
C3Y,3F,C,3,V,0.1,-98.9,-0.3,96.0,-0.1,61.9,1398.0,
C1Y,3F,C,4,V,-0.0,-102.6,0.2,98.8,0.1,63.9,1103.6,
C1Y,3F,C,5,V,0.0,-102.6,-0.2,98.8,-0.1,63.9,1103.6,
C3Y,3F,C,6,V,-0.1,-98.9,0.3,96.0,0.1,61.9,1398.0,
C3Y,3F,C,8,V,-0.0,48.7,0.0,-45.9,0.0,-30.0,1014.9,
C3Y,4F,C,1,V,0.0,50.2,-0.0,-50.2,-0.0,-31.9,688.6,
C3Y,4F,C,3,V,-0.0,-98.3,0.1,99.8,0.0,62.9,932.1,
C1Y,4F,C,4,V,0.0,-102.9,-0.0,104.1,-0.0,65.7,735.6,
C1Y,4F,C,5,V,-0.0,-102.9,0.0,104.1,0.0,65.7,735.6,
C3Y,4F,C,6,V,0.0,-98.3,-0.1,99.8,-0.0,62.9,932.1,
C3Y,4F,C,8,V,-0.0,50.2,0.0,-50.2,0.0,-31.9,688.6,
C3Y,5F,C,1,V,0.1,72.6,-0.1,-58.0,-0.0,-41.5,364.8,
C3Y,5F,C,3,V,-0.0,-148.0,-0.0,115.1,0.0,83.5,469.0,
C1Y,5F,C,4,V,-0.0,-151.5,0.0,120.4,0.0,86.3,372.0,
C1Y,5F,C,5,V,0.0,-151.5,-0.0,120.4,-0.0,86.3,372.0,
C3Y,5F,C,6,V,0.0,-148.0,0.0,115.1,-0.0,83.5,469.0,
C3Y,5F,C,8,V,-0.1,72.6,0.1,-58.0,0.0,-41.5,364.8,
C5,1F,D,3,V,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,1034.7,
C5,1F,D,4,V,-0.0,-0.0,0.0,-0.0,0.0,-0.0,749.5,
C5,1F,D,5,V,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,749.5,
C5,1F,D,6,V,0.0,-0.0,0.0,-0.0,-0.0,-0.0,1034.7,
C5,2F,D,3,V,-0.0,0.0,0.0,-0.0,0.0,-0.0,837.6,
C5,2F,D,4,V,-0.0,0.0,0.0,-0.0,0.0,-0.0,601.5,
C5,2F,D,5,V,0.0,0.0,-0.0,-0.0,-0.0,-0.0,601.5,
C5,2F,D,6,V,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,837.6,
C5,3F,D,3,V,-0.0,-0.0,0.0,0.0,0.0,0.0,639.0,
C5,3F,D,4,V,-0.0,-0.0,0.0,0.0,0.0,0.0,445.7,
C5,3F,D,5,V,0.0,-0.0,-0.0,0.0,-0.0,0.0,445.7,
C5,3F,D,6,V,0.0,0.0,-0.0,-0.0,-0.0,-0.0,639.0,
C5,4F,D,3,V,-0.0,0.0,0.0,-0.0,0.0,-0.0,383.4,
C5,4F,D,4,V,-0.0,-0.0,0.0,-0.0,0.0,-0.0,287.6,
C5,4F,D,5,V,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,287.6,
C5,4F,D,6,V,0.0,-0.0,-0.0,0.0,-0.0,0.0,383.4,
C5,5F,D,3,V,-0.0,0.0,0.0,0.0,0.0,0.0,178.1,
C5,5F,D,4,V,-0.0,-0.0,0.0,-0.0,0.0,-0.0,128.4,
C5,5F,D,5,V,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,128.4,
C5,5F,D,6,V,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,178.1,
C3Y,1F,E,1,V,0.0,-40.1,-0.0,20.7,-0.0,17.4,1706.0,
C3Y,1F,E,3,V,1.1,79.3,-4.8,-48.9,-1.7,-36.7,2349.3,
C1Y,1F,E,4,V,-0.7,78.0,2.8,-51.2,1.0,-37.0,1880.4,
C1Y,1F,E,5,V,0.7,78.0,-2.8,-51.2,-1.0,-37.0,1880.4,
C3Y,1F,E,6,V,-1.1,79.3,4.8,-48.9,1.7,-36.7,2349.3,
C3Y,1F,E,8,V,-0.0,-40.1,0.0,20.7,0.0,17.4,1706.0,
C3Y,2F,E,1,V,0.0,-46.7,-0.1,51.1,-0.0,31.1,1346.9,
C3Y,2F,E,3,V,-0.3,96.2,1.2,-99.5,0.5,-62.1,1843.3,
C1Y,2F,E,4,V,0.2,97.7,-0.7,-99.5,-0.3,-62.6,1475.6,
C1Y,2F,E,5,V,-0.2,97.7,0.7,-99.5,0.3,-62.6,1475.6,
C3Y,2F,E,6,V,0.3,96.2,-1.2,-99.5,-0.5,-62.1,1843.3,
C3Y,2F,E,8,V,-0.0,-46.7,0.1,51.1,0.0,31.1,1346.9,
C3Y,3F,E,1,V,0.0,-48.7,-0.0,45.9,-0.0,30.0,1014.9,
C3Y,3F,E,3,V,0.1,98.9,-0.3,-96.0,-0.1,-61.9,1398.0,
C1Y,3F,E,4,V,-0.0,102.6,0.2,-98.8,0.1,-63.9,1103.6,
C1Y,3F,E,5,V,0.0,102.6,-0.2,-98.8,-0.1,-63.9,1103.6,
C3Y,3F,E,6,V,-0.1,98.9,0.3,-96.0,0.1,-61.9,1398.0,
C3Y,3F,E,8,V,-0.0,-48.7,0.0,45.9,0.0,30.0,1014.9,
C3Y,4F,E,1,V,0.0,-50.2,-0.0,50.2,-0.0,31.9,688.6,
C3Y,4F,E,3,V,-0.0,98.3,0.1,-99.8,0.0,-62.9,932.1,
C1Y,4F,E,4,V,0.0,102.9,-0.0,-104.1,-0.0,-65.7,735.6,
C1Y,4F,E,5,V,-0.0,102.9,0.0,-104.1,0.0,-65.7,735.6,
C3Y,4F,E,6,V,0.0,98.3,-0.1,-99.8,-0.0,-62.9,932.1,
C3Y,4F,E,8,V,-0.0,-50.2,0.0,50.2,0.0,31.9,688.6,
C3Y,5F,E,1,V,0.1,-72.6,-0.1,58.0,-0.0,41.5,364.8,
C3Y,5F,E,3,V,-0.0,148.0,-0.0,-115.1,0.0,-83.5,469.0,
C1Y,5F,E,4,V,-0.0,151.5,0.0,-120.4,0.0,-86.3,372.0,
C1Y,5F,E,5,V,0.0,151.5,-0.0,-120.4,-0.0,-86.3,372.0,
C3Y,5F,E,6,V,0.0,148.0,0.0,-115.1,-0.0,-83.5,469.0,
C3Y,5F,E,8,V,-0.1,-72.6,0.1,58.0,0.0,41.5,364.8,
C2Y,1F,F,1,V,0.2,-25.7,-0.8,30.3,-0.3,16.0,479.9,
C5,1F,F,2,V,-0.2,0.4,1.0,-2.2,0.3,-0.7,623.1,
C5,1F,F,7,V,0.2,0.4,-1.0,-2.2,-0.3,-0.7,623.1,
C2Y,1F,F,8,V,-0.2,-25.7,0.8,30.3,0.3,16.0,479.9,
C2Y,2F,F,1,V,-0.1,-30.6,0.2,27.4,0.1,18.4,390.4,
C5,2F,F,2,V,0.1,-0.1,-0.2,0.5,-0.1,0.2,497.5,
C5,2F,F,7,V,-0.1,-0.1,0.2,0.5,0.1,0.2,497.5,
C2Y,2F,F,8,V,0.1,-30.6,-0.2,27.4,-0.1,18.4,390.4,
C2Y,3F,F,1,V,0.0,-35.8,-0.1,33.8,-0.0,22.1,300.3,
C5,3F,F,2,V,-0.0,0.0,0.1,-0.1,0.0,-0.0,378.4,
C5,3F,F,7,V,0.0,0.0,-0.1,-0.1,-0.0,-0.0,378.4,
C2Y,3F,F,8,V,-0.0,-35.8,0.1,33.8,0.0,22.1,300.3,
C2Y,4F,F,1,V,-0.0,-34.9,0.0,36.3,0.0,22.6,208.2,
C5,4F,F,2,V,0.0,-0.0,-0.0,0.0,-0.0,0.0,259.3,
C5,4F,F,7,V,-0.0,-0.0,0.0,0.0,0.0,0.0,259.3,
C2Y,4F,F,8,V,0.0,-34.9,-0.0,36.3,-0.0,22.6,208.2,
C2Y,5F,F,1,V,0.0,-68.9,-0.0,47.5,-0.0,36.9,113.6,
C5,5F,F,2,V,0.0,-0.0,0.0,0.0,-0.0,0.0,140.2,
