App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<íåïîçﬁâûóÕ>
äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,MU[kNm],MD[kNm],Q[kN],N[kN]
2F,B,8,EXL,6.8,-8.3,-4.8,0.0,
2F,C,1,EXL,7.3,2.8,-1.4,-0.0,
2F,C,3,EXL,11.6,-13.9,-8.1,-150.2,
2F,C,4,EXL,6.8,-8.3,-4.8,145.0,
2F,C,5,EXL,6.8,-8.3,-4.8,173.2,
2F,C,6,EXL,11.6,-13.9,-8.1,525.3,
2F,C,8,EXL,7.3,2.8,-1.4,0.0,
2F,D,3,EXL,4.9,1.9,-1.0,-623.3,
2F,D,4,EXL,4.9,1.9,-1.0,1208.7,
2F,D,5,EXL,4.9,1.9,-1.0,1376.4,
2F,D,6,EXL,4.9,1.9,-1.0,1756.7,
2F,E,1,EXL,7.3,2.8,-1.4,-0.0,
2F,E,3,EXL,11.6,-13.9,-8.1,-150.2,
2F,E,4,EXL,6.8,-8.3,-4.8,145.0,
2F,E,5,EXL,6.8,-8.3,-4.8,173.2,
2F,E,6,EXL,11.6,-13.9,-8.1,525.3,
2F,E,8,EXL,7.3,2.8,-1.4,0.0,
2F,F,1,EXL,6.8,-8.3,-4.8,-0.0,
2F,F,2,EXL,8.0,-9.6,-5.6,0.0,
2F,F,7,EXL,8.0,-9.6,-5.6,-0.0,
2F,F,8,EXL,6.8,-8.3,-4.8,0.0,
2F,G,2,EXL,-71.0,73.8,46.0,-218.4,
2F,G,3,EXL,-148.7,161.8,98.6,-24.2,
2F,G,4,EXL,-150.4,162.3,99.3,-5.8,
2F,G,5,EXL,-150.3,162.2,99.2,-8.0,
2F,G,6,EXL,-148.5,161.7,98.5,20.2,
2F,G,7,EXL,-70.9,73.8,45.9,218.3,
3F,A,2,EXL,-104.3,105.0,66.4,-168.9,
3F,A,3,EXL,-257.3,257.1,163.3,-20.2,
3F,A,4,EXL,-260.4,259.8,165.1,-4.7,
3F,A,5,EXL,-260.3,259.6,165.0,-6.9,
3F,A,6,EXL,-257.0,256.9,163.2,16.9,
3F,A,7,EXL,-104.2,104.9,66.4,168.9,
3F,B,1,EXL,-6.9,6.9,4.4,-0.0,
3F,B,2,EXL,-8.0,8.0,5.1,0.0,
3F,B,7,EXL,-8.0,8.0,5.1,-0.0,
3F,B,8,EXL,-6.9,6.9,4.4,0.0,
3F,C,1,EXL,-10.6,7.3,5.7,-0.0,
3F,C,3,EXL,-11.7,11.7,7.4,-26.3,
3F,C,4,EXL,-6.9,6.9,4.4,117.1,
3F,C,5,EXL,-6.9,6.9,4.4,141.6,
3F,C,6,EXL,-11.7,11.7,7.4,489.2,
3F,C,8,EXL,-10.6,7.3,5.7,0.0,
3F,D,3,EXL,-7.2,5.0,3.9,302.7,
3F,D,4,EXL,-7.2,5.0,3.9,735.3,
3F,D,5,EXL,-7.2,5.0,3.9,998.5,
3F,D,6,EXL,-7.2,5.0,3.9,281.9,
3F,E,1,EXL,-10.6,7.3,5.7,-0.0,
3F,E,3,EXL,-11.7,11.7,7.4,-26.3,
3F,E,4,EXL,-6.9,6.9,4.4,117.1,
3F,E,5,EXL,-6.9,6.9,4.4,141.6,
3F,E,6,EXL,-11.7,11.7,7.4,489.2,
3F,E,8,EXL,-10.6,7.3,5.7,0.0,
3F,F,1,EXL,-6.9,6.9,4.4,-0.0,
3F,F,2,EXL,-8.0,8.0,5.1,0.0,
3F,F,7,EXL,-8.0,8.0,5.1,-0.0,
3F,F,8,EXL,-6.9,6.9,4.4,0.0,
3F,G,2,EXL,-104.3,105.0,66.4,-168.9,
3F,G,3,EXL,-257.3,257.1,163.3,-20.2,
3F,G,4,EXL,-260.4,259.8,165.1,-4.7,
3F,G,5,EXL,-260.3,259.6,165.0,-6.9,
3F,G,6,EXL,-257.0,256.9,163.2,16.9,
3F,G,7,EXL,-104.2,104.9,66.4,168.9,
4F,A,2,EXL,-61.3,70.0,41.7,-120.1,
4F,A,3,EXL,-99.3,144.2,77.3,-15.5,
4F,A,4,EXL,-102.2,147.5,79.3,-3.4,
4F,A,5,EXL,-102.0,147.3,79.1,-5.5,
4F,A,6,EXL,-99.0,144.0,77.1,12.9,
4F,A,7,EXL,-61.2,69.9,41.6,120.1,
4F,B,1,EXL,11.4,-6.8,-5.8,-0.0,
4F,B,2,EXL,13.4,-8.0,-6.8,0.0,
4F,B,7,EXL,13.4,-8.0,-6.8,-0.0,
4F,B,8,EXL,11.4,-6.8,-5.8,0.0,
4F,C,1,EXL,19.4,-10.6,-9.5,-0.0,
4F,C,3,EXL,19.7,-11.7,-10.0,-16.6,
4F,C,4,EXL,11.4,-6.8,-5.8,81.0,
4F,C,5,EXL,11.4,-6.8,-5.8,98.8,
4F,C,6,EXL,19.7,-11.7,-10.0,452.8,
4F,C,8,EXL,19.4,-10.6,-9.5,0.0,
4F,D,3,EXL,13.2,-7.2,-6.5,31.8,
4F,D,4,EXL,13.2,-7.2,-6.5,736.2,
4F,D,5,EXL,13.2,-7.2,-6.5,1005.9,
4F,D,6,EXL,13.2,-7.2,-6.5,1055.7,
4F,E,1,EXL,19.4,-10.6,-9.5,-0.0,
4F,E,3,EXL,19.7,-11.7,-10.0,-16.6,
4F,E,4,EXL,11.4,-6.8,-5.8,81.0,
4F,E,5,EXL,11.4,-6.8,-5.8,98.8,
4F,E,6,EXL,19.7,-11.7,-10.0,452.8,
4F,E,8,EXL,19.4,-10.6,-9.5,0.0,
4F,F,1,EXL,11.4,-6.8,-5.8,-0.0,
4F,F,2,EXL,13.4,-8.0,-6.8,0.0,
4F,F,7,EXL,13.4,-8.0,-6.8,-0.0,
4F,F,8,EXL,11.4,-6.8,-5.8,0.0,
4F,G,2,EXL,-61.3,70.0,41.7,-120.1,
4F,G,3,EXL,-99.3,144.2,77.3,-15.5,
4F,G,4,EXL,-102.2,147.5,79.3,-3.4,
4F,G,5,EXL,-102.0,147.3,79.1,-5.5,
4F,G,6,EXL,-99.0,144.0,77.1,12.9,
4F,G,7,EXL,-61.2,69.9,41.6,120.1,
5F,A,2,EXL,-184.1,175.4,114.1,-53.7,
5F,A,3,EXL,-466.3,446.4,289.8,-9.3,
5F,A,4,EXL,-476.7,452.0,294.8,-1.7,
5F,A,5,EXL,-476.3,451.7,294.6,-3.8,
5F,A,6,EXL,-465.9,446.1,289.5,7.6,
5F,A,7,EXL,-184.0,175.3,114.1,53.6,
5F,B,1,EXL,-0.0,11.5,3.7,-0.0,
5F,B,2,EXL,-0.0,13.5,4.3,0.0,
5F,B,7,EXL,-0.0,13.5,4.3,-0.0,
5F,B,8,EXL,-0.0,11.5,3.7,0.0,
5F,C,1,EXL,-0.0,19.4,6.2,-0.0,
5F,C,3,EXL,-0.1,19.7,6.3,-7.4,
5F,C,4,EXL,-0.1,11.5,3.7,36.1,
5F,C,5,EXL,-0.1,11.5,3.7,44.1,
5F,C,6,EXL,-0.1,19.7,6.3,36.9,
5F,C,8,EXL,-0.0,19.4,6.2,0.0,
5F,D,3,EXL,-0.1,13.3,4.2,13.9,
5F,D,4,EXL,-0.1,13.3,4.2,-67.1,
5F,D,5,EXL,-0.1,13.3,4.2,-82.0,
5F,D,6,EXL,-0.1,13.3,4.2,-69.7,
5F,E,1,EXL,-0.0,19.4,6.2,-0.0,
5F,E,3,EXL,-0.1,19.7,6.3,-7.4,
5F,E,4,EXL,-0.1,11.5,3.7,36.1,
5F,E,5,EXL,-0.1,11.5,3.7,44.1,
5F,E,6,EXL,-0.1,19.7,6.3,36.9,
5F,E,8,EXL,-0.0,19.4,6.2,0.0,
5F,F,1,EXL,-0.0,11.5,3.7,-0.0,
5F,F,2,EXL,-0.0,13.5,4.3,0.0,
5F,F,7,EXL,-0.0,13.5,4.3,-0.0,
5F,F,8,EXL,-0.0,11.5,3.7,0.0,
5F,G,2,EXL,-184.1,175.4,114.1,-53.7,
5F,G,3,EXL,-466.3,446.4,289.8,-9.3,
5F,G,4,EXL,-476.7,452.0,294.8,-1.7,
5F,G,5,EXL,-476.3,451.7,294.6,-3.8,
5F,G,6,EXL,-465.9,446.1,289.5,7.6,
5F,G,7,EXL,-184.0,175.3,114.1,53.6,
1F,1,B,EXL,0.0,-0.0,-0.0,-0.1,
1F,1,C,EXL,0.0,-0.0,-0.0,-0.0,
1F,1,E,EXL,-0.0,0.0,0.0,-0.0,
1F,1,F,EXL,-0.0,0.0,0.0,-0.1,
1F,2,A,EXL,0.0,-0.0,-0.0,-266.3,
1F,2,B,EXL,0.0,-0.0,-0.0,0.1,
1F,2,F,EXL,-0.0,0.0,0.0,0.1,
1F,2,G,EXL,-0.0,0.0,0.0,-266.3,
1F,3,A,EXL,0.0,-0.0,-0.0,-27.3,
1F,3,C,EXL,-9.1,5.9,4.3,-157.6,
1F,3,D,EXL,-0.0,0.0,0.0,-605.2,
1F,3,E,EXL,9.1,-5.9,-4.3,-157.6,
1F,3,G,EXL,-0.0,0.0,0.0,-27.3,
1F,4,A,EXL,-0.0,0.0,0.0,-6.5,
1F,4,C,EXL,18.3,-12.5,-8.8,160.2,
1F,4,D,EXL,0.0,0.0,0.0,1177.4,
1F,4,E,EXL,-18.3,12.5,8.8,160.2,
1F,4,G,EXL,0.0,-0.0,-0.0,-6.5,
1F,5,A,EXL,-0.0,0.0,0.0,-8.5,
1F,5,C,EXL,20.7,-14.1,-9.9,190.3,
1F,5,D,EXL,0.0,-0.0,-0.0,1332.6,
1F,5,E,EXL,-20.7,14.1,9.9,190.3,
1F,5,G,EXL,0.0,-0.0,-0.0,-8.5,
1F,6,A,EXL,-0.0,-0.0,0.0,22.9,
1F,6,C,EXL,25.1,-16.1,-11.8,545.1,
1F,6,D,EXL,0.0,-0.0,-0.0,1713.2,
1F,6,E,EXL,-25.1,16.1,11.8,545.1,
1F,6,G,EXL,0.0,0.0,-0.0,22.9,
1F,7,A,EXL,-0.0,0.0,0.0,266.2,
1F,7,B,EXL,-0.0,0.0,0.0,-0.1,
1F,7,F,EXL,0.0,-0.0,-0.0,-0.1,
1F,7,G,EXL,0.0,-0.0,-0.0,266.2,
1F,8,B,EXL,-0.0,0.0,0.0,0.1,
1F,8,C,EXL,-0.0,0.0,0.0,0.0,
1F,8,E,EXL,0.0,-0.0,-0.0,0.0,
1F,8,F,EXL,0.0,-0.0,-0.0,0.1,
2F,1,B,EXL,0.0,-0.0,-0.0,-0.0,
2F,1,C,EXL,0.0,-0.0,-0.0,-0.0,
2F,1,E,EXL,-0.0,0.0,0.0,-0.0,
2F,1,F,EXL,-0.0,0.0,0.0,-0.0,
2F,2,A,EXL,0.0,-0.0,-0.0,-218.4,
2F,2,B,EXL,0.0,-0.0,-0.0,0.0,
2F,2,F,EXL,-0.0,0.0,0.0,0.0,
2F,2,G,EXL,-0.0,0.0,0.0,-218.4,
2F,3,A,EXL,0.0,-0.0,-0.0,-24.2,
2F,3,C,EXL,-20.7,14.7,11.2,-150.2,
2F,3,D,EXL,0.0,-0.0,-0.0,-623.3,
2F,3,E,EXL,20.7,-14.7,-11.2,-150.2,
2F,3,G,EXL,-0.0,0.0,0.0,-24.2,
2F,4,A,EXL,-0.0,0.0,0.0,-5.8,
2F,4,C,EXL,39.3,-29.2,-21.7,145.0,
2F,4,D,EXL,-0.0,0.0,0.0,1208.7,
2F,4,E,EXL,-39.3,29.2,21.7,145.0,
2F,4,G,EXL,0.0,-0.0,-0.0,-5.8,
2F,5,A,EXL,-0.0,0.0,0.0,-8.0,
2F,5,C,EXL,44.1,-32.9,-24.5,173.2,
2F,5,D,EXL,-0.0,0.0,0.0,1376.4,
2F,5,E,EXL,-44.1,32.9,24.5,173.2,
2F,5,G,EXL,0.0,-0.0,-0.0,-8.0,
2F,6,A,EXL,-0.0,0.0,0.0,20.2,
2F,6,C,EXL,55.2,-39.9,-30.2,525.3,
2F,6,D,EXL,-0.0,0.0,0.0,1756.7,
2F,6,E,EXL,-55.2,39.9,30.2,525.3,
2F,6,G,EXL,0.0,-0.0,-0.0,20.2,
2F,7,A,EXL,-0.0,0.0,0.0,218.3,
2F,7,B,EXL,-0.0,0.0,0.0,-0.0,
2F,7,F,EXL,0.0,-0.0,-0.0,-0.0,
2F,7,G,EXL,0.0,-0.0,-0.0,218.3,
2F,8,B,EXL,-0.0,0.0,0.0,0.0,
2F,8,C,EXL,-0.0,0.0,0.0,0.0,
2F,8,E,EXL,0.0,-0.0,-0.0,0.0,
2F,8,F,EXL,0.0,-0.0,-0.0,0.0,
3F,1,B,EXL,0.0,-0.0,-0.0,-0.0,
3F,1,C,EXL,-0.0,0.0,0.0,-0.0,
3F,1,E,EXL,-0.0,0.0,0.0,-0.0,
3F,1,F,EXL,-0.0,0.0,0.0,-0.0,
3F,2,A,EXL,0.0,-0.0,-0.0,-168.9,
3F,2,B,EXL,0.0,-0.0,-0.0,0.0,
3F,2,F,EXL,-0.0,0.0,0.0,0.0,
3F,2,G,EXL,-0.0,0.0,0.0,-168.9,
3F,3,A,EXL,0.0,-0.0,-0.0,-20.2,
3F,3,C,EXL,-17.4,21.6,12.4,-26.3,
3F,3,D,EXL,-0.0,0.0,0.0,302.7,
3F,3,E,EXL,17.4,-21.6,-12.4,-26.3,
3F,3,G,EXL,-0.0,0.0,0.0,-20.2,
3F,4,A,EXL,-0.0,0.0,0.0,-4.7,
3F,4,C,EXL,53.8,-48.3,-32.4,117.1,
3F,4,D,EXL,0.0,-0.0,-0.0,735.3,
3F,4,E,EXL,-53.8,48.3,32.4,117.1,
3F,4,G,EXL,0.0,-0.0,-0.0,-4.7,
3F,5,A,EXL,-0.0,0.0,0.0,-6.9,
3F,5,C,EXL,63.0,-55.2,-37.5,141.6,
3F,5,D,EXL,0.0,-0.0,-0.0,998.5,
3F,5,E,EXL,-63.0,55.2,37.5,141.6,
3F,5,G,EXL,0.0,-0.0,-0.0,-6.9,
3F,6,A,EXL,0.0,0.0,0.0,16.9,
3F,6,C,EXL,60.0,-62.2,-38.8,489.2,
3F,6,D,EXL,0.0,-0.0,-0.0,281.9,
3F,6,E,EXL,-60.0,62.2,38.8,489.2,
3F,6,G,EXL,0.0,-0.0,-0.0,16.9,
3F,7,A,EXL,-0.0,0.0,0.0,168.9,
3F,7,B,EXL,-0.0,0.0,0.0,-0.0,
3F,7,F,EXL,0.0,-0.0,-0.0,-0.0,
3F,7,G,EXL,0.0,-0.0,-0.0,168.9,
3F,8,B,EXL,-0.0,0.0,0.0,0.0,
3F,8,C,EXL,-0.0,-0.0,-0.0,0.0,
3F,8,E,EXL,0.0,-0.0,-0.0,0.0,
3F,8,F,EXL,0.0,-0.0,-0.0,0.0,
4F,1,B,EXL,0.0,-0.0,-0.0,-0.0,
4F,1,C,EXL,-0.0,-0.0,-0.0,-0.0,
4F,1,E,EXL,-0.0,0.0,0.0,-0.0,
4F,1,F,EXL,-0.0,0.0,0.0,-0.0,
4F,2,A,EXL,0.0,-0.0,-0.0,-120.1,
4F,2,B,EXL,0.0,-0.0,-0.0,0.0,
4F,2,F,EXL,-0.0,0.0,0.0,0.0,
4F,2,G,EXL,-0.0,0.0,0.0,-120.1,
4F,3,A,EXL,-0.0,0.0,0.0,-15.5,
4F,3,C,EXL,-14.4,14.8,9.3,-16.6,
4F,3,D,EXL,-0.0,-0.0,0.0,31.8,
4F,3,E,EXL,14.4,-14.8,-9.3,-16.6,
4F,3,G,EXL,0.0,-0.0,-0.0,-15.5,
4F,4,A,EXL,-0.0,0.0,0.0,-3.4,
4F,4,C,EXL,65.0,-60.0,-39.7,81.0,
4F,4,D,EXL,-0.0,0.0,0.0,736.2,
4F,4,E,EXL,-65.0,60.0,39.7,81.0,
4F,4,G,EXL,0.0,-0.0,-0.0,-3.4,
4F,5,A,EXL,-0.0,0.0,0.0,-5.5,
4F,5,C,EXL,79.0,-71.8,-47.9,98.8,
4F,5,D,EXL,-0.0,0.0,0.0,1005.9,
4F,5,E,EXL,-79.0,71.8,47.9,98.8,
4F,5,G,EXL,0.0,-0.0,-0.0,-5.5,
4F,6,A,EXL,0.0,-0.0,-0.0,12.9,
4F,6,C,EXL,70.2,-62.8,-42.2,452.8,
4F,6,D,EXL,0.0,0.0,0.0,1055.7,
4F,6,E,EXL,-70.2,62.8,42.2,452.8,
4F,6,G,EXL,-0.0,0.0,0.0,12.9,
4F,7,A,EXL,-0.0,0.0,0.0,120.1,
4F,7,B,EXL,-0.0,0.0,0.0,-0.0,
4F,7,F,EXL,0.0,-0.0,-0.0,-0.0,
4F,7,G,EXL,0.0,-0.0,-0.0,120.1,
4F,8,B,EXL,-0.0,0.0,0.0,0.0,
4F,8,C,EXL,-0.0,0.0,0.0,0.0,
4F,8,E,EXL,0.0,-0.0,-0.0,0.0,
4F,8,F,EXL,0.0,-0.0,-0.0,0.0,
5F,1,B,EXL,0.0,-0.0,-0.0,-0.0,
5F,1,C,EXL,-0.0,0.0,0.0,-0.0,
5F,1,E,EXL,0.0,-0.0,-0.0,-0.0,
5F,1,F,EXL,-0.0,0.0,0.0,-0.0,
5F,2,A,EXL,0.0,-0.0,-0.0,-53.7,
5F,2,B,EXL,0.0,-0.0,-0.0,0.0,
5F,2,F,EXL,-0.0,0.0,0.0,0.0,
5F,2,G,EXL,-0.0,0.0,0.0,-53.7,
5F,3,A,EXL,0.0,-0.0,-0.0,-9.3,
5F,3,C,EXL,-20.5,16.3,11.7,-7.4,
5F,3,D,EXL,0.0,-0.0,-0.0,13.9,
5F,3,E,EXL,20.5,-16.3,-11.7,-7.4,
5F,3,G,EXL,-0.0,0.0,0.0,-9.3,
5F,4,A,EXL,-0.0,0.0,0.0,-1.7,
5F,4,C,EXL,94.4,-77.7,-54.6,36.1,
5F,4,D,EXL,0.0,-0.0,-0.0,-67.1,
5F,4,E,EXL,-94.4,77.7,54.6,36.1,
5F,4,G,EXL,0.0,-0.0,-0.0,-1.7,
5F,5,A,EXL,-0.0,0.0,0.0,-3.8,
5F,5,C,EXL,115.2,-95.0,-66.7,44.1,
5F,5,D,EXL,0.0,-0.0,-0.0,-82.0,
5F,5,E,EXL,-115.2,95.0,66.7,44.1,
5F,5,G,EXL,0.0,-0.0,-0.0,-3.8,
5F,6,A,EXL,-0.0,0.0,0.0,7.6,
5F,6,C,EXL,105.3,-85.1,-60.4,36.9,
5F,6,D,EXL,-0.0,0.0,0.0,-69.7,
5F,6,E,EXL,-105.3,85.1,60.4,36.9,
5F,6,G,EXL,0.0,-0.0,-0.0,7.6,
5F,7,A,EXL,-0.0,0.0,0.0,53.6,
5F,7,B,EXL,-0.0,0.0,0.0,-0.0,
5F,7,F,EXL,0.0,-0.0,-0.0,-0.0,
5F,7,G,EXL,0.0,-0.0,-0.0,53.6,
5F,8,B,EXL,-0.0,0.0,0.0,0.0,
5F,8,C,EXL,-0.0,0.0,0.0,0.0,
5F,8,E,EXL,0.0,-0.0,-0.0,0.0,
5F,8,F,EXL,0.0,-0.0,-0.0,0.0,
1F,A,2,EXR,96.4,-186.5,-80.9,266.2,
1F,A,3,EXR,226.5,-523.4,-214.6,22.9,
1F,A,4,EXR,227.4,-526.3,-215.7,-8.5,
1F,A,5,EXR,227.5,-526.4,-215.7,-6.5,
1F,A,6,EXR,226.6,-523.5,-214.6,-27.3,
1F,A,7,EXR,96.4,-186.5,-81.0,-266.3,
1F,B,1,EXR,8.3,-41.1,-14.1,0.1,
1F,B,2,EXR,9.6,-47.9,-16.5,-0.1,
1F,B,7,EXR,9.6,-47.9,-16.5,0.1,
1F,B,8,EXR,8.3,-41.1,-14.1,-0.1,
1F,C,1,EXR,-2.8,-0.0,0.8,0.0,
1F,C,3,EXR,13.9,-69.6,-23.9,545.1,
1F,C,4,EXR,8.3,-41.1,-14.2,190.3,
1F,C,5,EXR,8.3,-41.1,-14.2,160.2,
1F,C,6,EXR,13.9,-69.6,-23.9,-157.6,
1F,C,8,EXR,-2.8,-0.0,0.8,-0.0,
1F,D,3,EXR,-1.9,-0.0,0.5,1713.2,
1F,D,4,EXR,-1.9,-0.0,0.5,1332.6,
1F,D,5,EXR,-1.9,-0.0,0.5,1177.4,
1F,D,6,EXR,-1.9,-0.0,0.5,-605.2,
1F,E,1,EXR,-2.8,-0.0,0.8,0.0,
1F,E,3,EXR,13.9,-69.6,-23.9,545.1,
1F,E,4,EXR,8.3,-41.1,-14.2,190.3,
1F,E,5,EXR,8.3,-41.1,-14.2,160.2,
1F,E,6,EXR,13.9,-69.6,-23.9,-157.6,
1F,E,8,EXR,-2.8,-0.0,0.8,-0.0,
1F,F,1,EXR,8.3,-41.1,-14.1,0.1,
1F,F,2,EXR,9.6,-47.9,-16.5,-0.1,
1F,F,7,EXR,9.6,-47.9,-16.5,0.1,
1F,F,8,EXR,8.3,-41.1,-14.1,-0.1,
1F,G,2,EXR,96.4,-186.5,-80.9,266.2,
1F,G,3,EXR,226.5,-523.4,-214.6,22.9,
1F,G,4,EXR,227.4,-526.3,-215.7,-8.5,
1F,G,5,EXR,227.5,-526.4,-215.7,-6.5,
1F,G,6,EXR,226.6,-523.5,-214.6,-27.3,
1F,G,7,EXR,96.4,-186.5,-81.0,-266.3,
2F,A,2,EXR,70.9,-73.8,-45.9,218.3,
2F,A,3,EXR,148.5,-161.7,-98.5,20.2,
2F,A,4,EXR,150.3,-162.2,-99.2,-8.0,
2F,A,5,EXR,150.4,-162.3,-99.3,-5.8,
2F,A,6,EXR,148.7,-161.8,-98.6,-24.2,
2F,A,7,EXR,71.0,-73.8,-46.0,-218.4,
2F,B,1,EXR,-6.8,8.3,4.8,0.0,
2F,B,2,EXR,-8.0,9.6,5.6,-0.0,
2F,B,7,EXR,-8.0,9.6,5.6,0.0,
2F,B,8,EXR,-6.8,8.3,4.8,-0.0,
2F,C,1,EXR,-7.3,-2.8,1.4,0.0,
2F,C,3,EXR,-11.6,13.9,8.1,525.3,
2F,C,4,EXR,-6.8,8.3,4.8,173.2,
2F,C,5,EXR,-6.8,8.3,4.8,145.0,
2F,C,6,EXR,-11.6,13.9,8.1,-150.2,
2F,C,8,EXR,-7.3,-2.8,1.4,-0.0,
2F,D,3,EXR,-4.9,-1.9,1.0,1756.7,
2F,D,4,EXR,-4.9,-1.9,1.0,1376.4,
2F,D,5,EXR,-4.9,-1.9,1.0,1208.7,
2F,D,6,EXR,-4.9,-1.9,1.0,-623.3,
2F,E,1,EXR,-7.3,-2.8,1.4,0.0,
2F,E,3,EXR,-11.6,13.9,8.1,525.3,
2F,E,4,EXR,-6.8,8.3,4.8,173.2,
2F,E,5,EXR,-6.8,8.3,4.8,145.0,
2F,E,6,EXR,-11.6,13.9,8.1,-150.2,
2F,E,8,EXR,-7.3,-2.8,1.4,-0.0,
2F,F,1,EXR,-6.8,8.3,4.8,0.0,
2F,F,2,EXR,-8.0,9.6,5.6,-0.0,
2F,F,7,EXR,-8.0,9.6,5.6,0.0,
2F,F,8,EXR,-6.8,8.3,4.8,-0.0,
2F,G,2,EXR,70.9,-73.8,-45.9,218.3,
2F,G,3,EXR,148.5,-161.7,-98.5,20.2,
2F,G,4,EXR,150.3,-162.2,-99.2,-8.0,
2F,G,5,EXR,150.4,-162.3,-99.3,-5.8,
2F,G,6,EXR,148.7,-161.8,-98.6,-24.2,
2F,G,7,EXR,71.0,-73.8,-46.0,-218.4,
3F,A,2,EXR,104.2,-104.9,-66.4,168.9,
3F,A,3,EXR,257.0,-256.9,-163.2,16.9,
3F,A,4,EXR,260.3,-259.6,-165.0,-6.9,
3F,A,5,EXR,260.4,-259.8,-165.1,-4.7,
3F,A,6,EXR,257.3,-257.1,-163.3,-20.2,
3F,A,7,EXR,104.3,-105.0,-66.4,-168.9,
3F,B,1,EXR,6.9,-6.9,-4.4,0.0,
3F,B,2,EXR,8.0,-8.0,-5.1,-0.0,
3F,B,7,EXR,8.0,-8.0,-5.1,0.0,
3F,B,8,EXR,6.9,-6.9,-4.4,-0.0,
3F,C,1,EXR,10.6,-7.3,-5.7,0.0,
3F,C,3,EXR,11.7,-11.7,-7.4,489.2,
3F,C,4,EXR,6.9,-6.9,-4.4,141.6,
3F,C,5,EXR,6.9,-6.9,-4.4,117.1,
3F,C,6,EXR,11.7,-11.7,-7.4,-26.3,
3F,C,8,EXR,10.6,-7.3,-5.7,-0.0,
3F,D,3,EXR,7.2,-5.0,-3.9,281.9,
3F,D,4,EXR,7.2,-5.0,-3.9,998.5,
3F,D,5,EXR,7.2,-5.0,-3.9,735.3,
3F,D,6,EXR,7.2,-5.0,-3.9,302.7,
3F,E,1,EXR,10.6,-7.3,-5.7,0.0,
3F,E,3,EXR,11.7,-11.7,-7.4,489.2,
3F,E,4,EXR,6.9,-6.9,-4.4,141.6,
3F,E,5,EXR,6.9,-6.9,-4.4,117.1,
3F,E,6,EXR,11.7,-11.7,-7.4,-26.3,
3F,E,8,EXR,10.6,-7.3,-5.7,-0.0,
3F,F,1,EXR,6.9,-6.9,-4.4,0.0,
3F,F,2,EXR,8.0,-8.0,-5.1,-0.0,
3F,F,7,EXR,8.0,-8.0,-5.1,0.0,
3F,F,8,EXR,6.9,-6.9,-4.4,-0.0,
3F,G,2,EXR,104.2,-104.9,-66.4,168.9,
3F,G,3,EXR,257.0,-256.9,-163.2,16.9,
3F,G,4,EXR,260.3,-259.6,-165.0,-6.9,
3F,G,5,EXR,260.4,-259.8,-165.1,-4.7,
3F,G,6,EXR,257.3,-257.1,-163.3,-20.2,
3F,G,7,EXR,104.3,-105.0,-66.4,-168.9,
4F,A,2,EXR,61.2,-69.9,-41.6,120.1,
4F,A,3,EXR,99.0,-144.0,-77.1,12.9,
4F,A,4,EXR,102.0,-147.3,-79.1,-5.5,
4F,A,5,EXR,102.2,-147.5,-79.3,-3.4,
4F,A,6,EXR,99.3,-144.2,-77.3,-15.5,
4F,A,7,EXR,61.3,-70.0,-41.7,-120.1,
4F,B,1,EXR,-11.4,6.8,5.8,0.0,
4F,B,2,EXR,-13.4,8.0,6.8,-0.0,
4F,B,7,EXR,-13.4,8.0,6.8,0.0,
4F,B,8,EXR,-11.4,6.8,5.8,-0.0,
4F,C,1,EXR,-19.4,10.6,9.5,0.0,
4F,C,3,EXR,-19.7,11.7,10.0,452.8,
4F,C,4,EXR,-11.4,6.8,5.8,98.8,
4F,C,5,EXR,-11.4,6.8,5.8,81.0,
