App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<íåïîçﬁâûóÕ>
äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,MU[kNm],MD[kNm],Q[kN],N[kN]
3F,C,3,V,0.1,-0.3,-0.1,1398.0,
3F,C,4,V,-0.0,0.2,0.1,1103.6,
3F,C,5,V,0.0,-0.2,-0.1,1103.6,
3F,C,6,V,-0.1,0.3,0.1,1398.0,
3F,C,8,V,-0.0,0.0,0.0,1014.9,
3F,D,3,V,-0.0,0.0,0.0,639.0,
3F,D,4,V,-0.0,0.0,0.0,445.7,
3F,D,5,V,0.0,-0.0,-0.0,445.7,
3F,D,6,V,0.0,-0.0,-0.0,639.0,
3F,E,1,V,0.0,-0.0,-0.0,1014.9,
3F,E,3,V,0.1,-0.3,-0.1,1398.0,
3F,E,4,V,-0.0,0.2,0.1,1103.6,
3F,E,5,V,0.0,-0.2,-0.1,1103.6,
3F,E,6,V,-0.1,0.3,0.1,1398.0,
3F,E,8,V,-0.0,0.0,0.0,1014.9,
3F,F,1,V,0.0,-0.1,-0.0,300.3,
3F,F,2,V,-0.0,0.1,0.0,378.4,
3F,F,7,V,0.0,-0.1,-0.0,378.4,
3F,F,8,V,-0.0,0.1,0.0,300.3,
3F,G,2,V,52.8,-51.7,-33.2,404.0,
3F,G,3,V,-5.6,6.0,3.7,928.3,
3F,G,4,V,-0.4,0.4,0.2,892.8,
3F,G,5,V,0.4,-0.4,-0.2,892.8,
3F,G,6,V,5.6,-6.0,-3.7,928.3,
3F,G,7,V,-52.8,51.7,33.2,404.0,
4F,A,2,V,51.9,-52.9,-33.3,276.2,
4F,A,3,V,-1.9,4.1,1.9,632.9,
4F,A,4,V,-1.2,0.7,0.6,606.6,
4F,A,5,V,1.2,-0.7,-0.6,606.6,
4F,A,6,V,1.9,-4.1,-1.9,632.9,
4F,A,7,V,-51.9,52.9,33.3,276.2,
4F,B,1,V,-0.0,0.0,0.0,208.2,
4F,B,2,V,0.0,-0.0,-0.0,259.3,
4F,B,7,V,-0.0,0.0,0.0,259.3,
4F,B,8,V,0.0,-0.0,-0.0,208.2,
4F,C,1,V,0.0,-0.0,-0.0,688.6,
4F,C,3,V,-0.0,0.1,0.0,932.1,
4F,C,4,V,0.0,-0.0,-0.0,735.6,
4F,C,5,V,-0.0,0.0,0.0,735.6,
4F,C,6,V,0.0,-0.1,-0.0,932.1,
4F,C,8,V,-0.0,0.0,0.0,688.6,
4F,D,3,V,-0.0,0.0,0.0,383.4,
4F,D,4,V,-0.0,0.0,0.0,287.6,
4F,D,5,V,0.0,-0.0,-0.0,287.6,
4F,D,6,V,0.0,-0.0,-0.0,383.4,
4F,E,1,V,0.0,-0.0,-0.0,688.6,
4F,E,3,V,-0.0,0.1,0.0,932.1,
4F,E,4,V,0.0,-0.0,-0.0,735.6,
4F,E,5,V,-0.0,0.0,0.0,735.6,
4F,E,6,V,0.0,-0.1,-0.0,932.1,
4F,E,8,V,-0.0,0.0,0.0,688.6,
4F,F,1,V,-0.0,0.0,0.0,208.2,
4F,F,2,V,0.0,-0.0,-0.0,259.3,
4F,F,7,V,-0.0,0.0,0.0,259.3,
4F,F,8,V,0.0,-0.0,-0.0,208.2,
4F,G,2,V,51.9,-52.9,-33.3,276.2,
4F,G,3,V,-1.9,4.1,1.9,632.9,
4F,G,4,V,-1.2,0.7,0.6,606.6,
4F,G,5,V,1.2,-0.7,-0.6,606.6,
4F,G,6,V,1.9,-4.1,-1.9,632.9,
4F,G,7,V,-51.9,52.9,33.3,276.2,
5F,A,2,V,77.1,-62.2,-44.2,146.7,
5F,A,3,V,-15.3,6.0,6.8,339.7,
5F,A,4,V,0.4,0.8,0.1,320.0,
5F,A,5,V,-0.4,-0.8,-0.1,320.0,
5F,A,6,V,15.3,-6.0,-6.8,339.7,
5F,A,7,V,-77.1,62.2,44.2,146.7,
5F,B,1,V,0.0,-0.0,-0.0,113.6,
5F,B,2,V,0.0,0.0,-0.0,140.2,
5F,B,7,V,-0.0,-0.0,0.0,140.2,
5F,B,8,V,-0.0,0.0,0.0,113.6,
5F,C,1,V,0.1,-0.1,-0.0,364.8,
5F,C,3,V,-0.0,-0.0,0.0,469.0,
5F,C,4,V,-0.0,0.0,0.0,372.0,
5F,C,5,V,0.0,-0.0,-0.0,372.0,
5F,C,6,V,0.0,0.0,-0.0,469.0,
5F,C,8,V,-0.1,0.1,0.0,364.8,
5F,D,3,V,-0.0,0.0,0.0,178.1,
5F,D,4,V,-0.0,0.0,0.0,128.4,
5F,D,5,V,0.0,-0.0,-0.0,128.4,
5F,D,6,V,0.0,-0.0,-0.0,178.1,
5F,E,1,V,0.1,-0.1,-0.0,364.8,
5F,E,3,V,-0.0,-0.0,0.0,469.0,
5F,E,4,V,-0.0,0.0,0.0,372.0,
5F,E,5,V,0.0,-0.0,-0.0,372.0,
5F,E,6,V,0.0,0.0,-0.0,469.0,
5F,E,8,V,-0.1,0.1,0.0,364.8,
5F,F,1,V,0.0,-0.0,-0.0,113.6,
5F,F,2,V,0.0,0.0,-0.0,140.2,
5F,F,7,V,-0.0,-0.0,0.0,140.2,
5F,F,8,V,-0.0,0.0,0.0,113.6,
5F,G,2,V,77.1,-62.2,-44.2,146.7,
5F,G,3,V,-15.3,6.0,6.8,339.7,
5F,G,4,V,0.4,0.8,0.1,320.0,
5F,G,5,V,-0.4,-0.8,-0.1,320.0,
5F,G,6,V,15.3,-6.0,-6.8,339.7,
5F,G,7,V,-77.1,62.2,44.2,146.7,
1F,1,B,V,25.7,-30.3,-16.0,479.9,
1F,1,C,V,40.1,-20.7,-17.4,1706.0,
1F,1,E,V,-40.1,20.7,17.4,1706.0,
1F,1,F,V,-25.7,30.3,16.0,479.9,
1F,2,A,V,0.2,-0.8,-0.3,661.1,
1F,2,B,V,-0.4,2.2,0.7,623.1,
1F,2,F,V,0.4,-2.2,-0.7,623.1,
1F,2,G,V,-0.2,0.8,0.3,661.1,
1F,3,A,V,0.0,-0.0,-0.0,1541.4,
1F,3,C,V,-79.3,48.9,36.7,2349.3,
1F,3,D,V,-0.0,-0.0,-0.0,1034.7,
1F,3,E,V,79.3,-48.9,-36.7,2349.3,
1F,3,G,V,-0.0,0.0,0.0,1541.4,
1F,4,A,V,0.0,-0.0,-0.0,1479.5,
1F,4,C,V,-78.0,51.2,37.0,1880.4,
1F,4,D,V,-0.0,-0.0,-0.0,749.5,
1F,4,E,V,78.0,-51.2,-37.0,1880.4,
1F,4,G,V,-0.0,-0.0,0.0,1479.5,
1F,5,A,V,0.0,-0.0,-0.0,1479.5,
