App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<ëÂó¿ïîçﬁâûóÕ>
äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,ML[kNm],MC[kNm],MR[kNm],QL[kN],QR[kN]
3F,A,5,V,171.2,-20.7,-84.6,106.1,0.1
3F,A,5A,V,-84.6,-20.4,171.7,-0.1,106.2
3F,A,6,V,185.3,-111.7,103.2,116.9,95.4
3F,B,1,V,0.0,-78.1,-0.0,37.5,37.5
3F,B,7,V,-0.0,-78.1,0.0,37.5,37.5
3F,C,1,V,0.1,-445.8,-696.5,180.5,-98.2
3F,C,2,V,-696.5,-636.6,0.1,23.8,207.1
3F,C,3,V,0.0,-212.9,-283.9,113.1,0.0
3F,C,3A,V,-283.9,-212.9,0.0,-0.0,113.1
3F,C,4,V,0.0,-212.9,-283.9,113.1,0.0
3F,C,4A,V,-283.9,-212.9,0.0,-0.0,113.1
3F,C,5,V,0.0,-212.9,-283.9,113.1,-0.0
3F,C,5A,V,-283.9,-212.9,0.0,0.0,113.1
3F,C,6,V,0.1,-636.6,-696.5,207.1,23.8
3F,C,7,V,-696.5,-445.8,0.1,-98.2,180.5
3F,D,1,V,0.0,-261.8,-394.1,106.8,-50.8
3F,D,2,V,-394.1,-331.4,0.0,2.8,106.5
3F,D,3,V,0.0,-97.4,-129.8,52.3,0.0
3F,D,3A,V,-129.8,-97.4,0.0,-0.0,52.3
3F,D,4,V,0.0,-97.4,-129.8,52.3,-0.0
3F,D,4A,V,-129.8,-97.4,0.0,-0.0,52.3
3F,D,5,V,0.0,-97.4,-129.8,52.3,-0.0
3F,D,5A,V,-129.8,-97.4,0.0,0.0,52.3
3F,D,6,V,0.0,-331.4,-394.1,106.5,2.8
3F,D,7,V,-394.1,-261.8,0.0,-50.8,106.8
3F,E,1,V,0.1,-445.8,-696.5,180.5,-98.2
3F,E,2,V,-696.5,-636.6,0.1,23.8,207.1
3F,E,3,V,0.0,-212.9,-283.9,113.1,0.0
