App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<Së¢ëÂó¿ê›åvâûóÕ>
ó¿ïÑçÜ,äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,ç∂í[M[kNm],åpéËM[kNm],íÜâõM[kNm],åpéËM[kNm],âEí[M[kNm],ç∂í[Q[kN],åpéËQ[kN],íÜâõQ[kN],åpéËQ[kN],âEí[Q[kN]
B58,3F,E,2,V,-696.5,0.0,-636.6,0.0,0.1,-23.8,0.0,91.7,0.0,207.1
B49,3F,E,3,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,3F,E,3A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,3F,E,4,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,3F,E,4A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,3F,E,5,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,-0.0
B49,3F,E,5A,V,-283.9,0.0,-212.9,0.0,0.0,-0.0,0.0,56.6,0.0,113.1
B58,3F,E,6,V,0.1,0.0,-636.6,0.0,-696.5,-207.1,0.0,-91.7,0.0,23.8
B58,3F,E,7,V,-696.5,0.0,-445.8,0.0,0.1,98.2,0.0,139.3,0.0,180.5
B58,4F,E,1,V,0.1,0.0,-445.8,0.0,-696.5,-180.5,0.0,-139.3,0.0,-98.2
B58,4F,E,2,V,-696.5,0.0,-636.6,0.0,0.1,-23.8,0.0,91.7,0.0,207.1
B49,4F,E,3,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,4F,E,3A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,4F,E,4,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,-0.0
B49,4F,E,4A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,4F,E,5,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,-0.0
B49,4F,E,5A,V,-283.9,0.0,-212.9,0.0,0.0,-0.0,0.0,56.6,0.0,113.1
B58,4F,E,6,V,0.1,0.0,-636.6,0.0,-696.5,-207.1,0.0,-91.7,0.0,23.8
B58,4F,E,7,V,-696.5,0.0,-445.8,0.0,0.1,98.2,0.0,139.3,0.0,180.5
B58,5F,E,1,V,0.1,0.0,-445.8,0.0,-696.5,-180.5,0.0,-139.3,0.0,-98.2
B58,5F,E,2,V,-696.5,0.0,-636.6,0.0,0.1,-23.8,0.0,91.7,0.0,207.1
B49,5F,E,3,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,5F,E,3A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,5F,E,4,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,5F,E,4A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,5F,E,5,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,-0.0
B49,5F,E,5A,V,-283.9,0.0,-212.9,0.0,0.0,-0.0,0.0,56.6,0.0,113.1
B58,5F,E,6,V,0.1,0.0,-636.6,0.0,-696.5,-207.1,0.0,-91.7,0.0,23.8
B58,5F,E,7,V,-696.5,0.0,-445.8,0.0,0.1,98.2,0.0,139.3,0.0,180.5
B58,RF,E,1,V,0.1,0.0,-445.8,0.0,-696.5,-180.5,0.0,-139.3,0.0,-98.2
B58,RF,E,2,V,-696.5,0.0,-636.6,0.0,0.1,-23.8,0.0,91.7,0.0,207.1
B49,RF,E,3,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,RF,E,3A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,RF,E,4,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,RF,E,4A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,RF,E,5,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,-0.0
B49,RF,E,5A,V,-283.9,0.0,-212.9,0.0,0.0,-0.0,0.0,56.6,0.0,113.1
B58,RF,E,6,V,0.1,0.0,-636.6,0.0,-696.5,-207.1,0.0,-91.7,0.0,23.8
B58,RF,E,7,V,-696.5,0.0,-445.8,0.0,0.1,98.2,0.0,139.3,0.0,180.5
B34,2F,F,1,V,0.0,0.0,-82.5,0.0,-0.0,-39.3,0.0,-0.0,0.0,39.3
B34,2F,F,7,V,-0.0,0.0,-82.5,0.0,0.0,-39.3,0.0,0.0,0.0,39.3
B34,3F,F,1,V,0.0,0.0,-78.1,0.0,-0.0,-37.5,0.0,-0.0,0.0,37.5
B34,3F,F,7,V,-0.0,0.0,-78.1,0.0,0.0,-37.5,0.0,0.0,0.0,37.5
B34,4F,F,1,V,0.0,0.0,-78.1,0.0,-0.0,-37.5,0.0,-0.0,0.0,37.5
B34,4F,F,7,V,-0.0,0.0,-78.1,0.0,0.0,-37.5,0.0,0.0,0.0,37.5
B34,5F,F,1,V,0.0,0.0,-78.1,0.0,-0.0,-37.5,0.0,-0.0,0.0,37.5
B34,5F,F,7,V,-0.0,0.0,-78.1,0.0,0.0,-37.5,0.0,0.0,0.0,37.5
B34,RF,F,1,V,0.0,0.0,-93.0,0.0,-0.0,-49.4,0.0,-0.0,0.0,49.4
B34,RF,F,7,V,-0.0,0.0,-93.0,0.0,0.0,-49.4,0.0,0.0,0.0,49.4
G59X,2F,G,2,V,95.8,24.1,-120.1,115.8,205.2,-97.7,-79.5,14.3,108.2,126.3
G59X,2F,G,3,V,185.1,104.1,-19.4,-81.0,-88.6,-112.7,-94.6,-56.8,-18.9,-0.8
G59X,2F,G,3A,V,-88.6,-81.9,-22.3,99.2,179.2,-0.8,17.4,55.2,93.1,111.2
G59X,2F,G,4,V,180.3,99.7,-22.7,-83.3,-90.4,-112.0,-93.9,-56.0,-18.1,0.0
G59X,2F,G,4A,V,-90.4,-83.3,-22.7,99.7,180.3,0.0,18.1,56.0,93.9,112.0
G59X,2F,G,5,V,179.2,99.2,-22.3,-81.9,-88.6,-111.2,-93.1,-55.2,-17.4,0.8
G59X,2F,G,5A,V,-88.6,-81.0,-19.4,104.1,185.1,0.8,18.9,56.8,94.6,112.7
G59X,2F,G,6,V,205.2,115.8,-120.1,24.1,95.8,-126.3,-108.2,-14.3,79.5,97.7
G59X,3F,G,2,V,103.2,33.7,-111.7,102.5,185.3,-95.4,-78.2,10.7,99.7,116.9
G59X,3F,G,3,V,171.7,95.5,-20.4,-77.8,-84.6,-106.2,-89.0,-53.1,-17.3,-0.1
G59X,3F,G,3A,V,-84.6,-77.9,-20.7,95.0,171.2,-0.1,17.1,53.0,88.9,106.1
G59X,3F,G,4,V,170.7,94.6,-21.3,-78.6,-85.3,-106.1,-89.0,-53.1,-17.2,0.0
G59X,3F,G,4A,V,-85.3,-78.6,-21.3,94.6,170.7,0.0,17.2,53.1,89.0,106.1
G59X,3F,G,5,V,171.2,95.0,-20.7,-77.9,-84.6,-106.1,-88.9,-53.0,-17.1,0.1
G59X,3F,G,5A,V,-84.6,-77.8,-20.4,95.5,171.7,0.1,17.3,53.1,89.0,106.2
G59X,3F,G,6,V,185.3,102.5,-111.7,33.7,103.2,-116.9,-99.7,-10.7,78.2,95.4
G59X,4F,G,2,V,105.7,35.6,-112.9,98.2,180.4,-96.4,-79.2,9.8,98.8,115.9
G59X,4F,G,3,V,170.7,94.6,-21.0,-78.1,-84.7,-106.0,-88.8,-52.9,-17.0,0.2
G59X,4F,G,3A,V,-84.7,-77.9,-20.4,95.7,171.9,0.2,17.3,53.2,89.1,106.3
G59X,4F,G,4,V,170.8,94.6,-21.2,-78.5,-85.2,-106.1,-89.0,-53.1,-17.2,0.0
G59X,4F,G,4A,V,-85.2,-78.5,-21.2,94.6,170.8,-0.0,17.2,53.1,89.0,106.1
G59X,4F,G,5,V,171.9,95.7,-20.4,-77.9,-84.7,-106.3,-89.1,-53.2,-17.3,-0.2
G59X,4F,G,5A,V,-84.7,-78.1,-21.0,94.6,170.7,-0.2,17.0,52.9,88.8,106.0
G59X,4F,G,6,V,180.4,98.2,-112.9,35.6,105.7,-115.9,-98.8,-9.8,79.2,96.4
G59X,5F,G,2,V,114.1,43.0,-110.9,94.8,175.9,-98.1,-80.9,8.1,97.1,114.2
G59X,5F,G,3,V,168.0,92.2,-22.7,-79.2,-85.5,-105.5,-88.3,-52.4,-16.5,0.7
G59X,5F,G,3A,V,-85.5,-78.4,-20.2,96.5,173.0,0.7,17.8,53.7,89.6,106.8
G59X,5F,G,4,V,171.0,94.9,-21.0,-78.3,-85.0,-106.1,-89.0,-53.1,-17.2,0.0
G59X,5F,G,4A,V,-85.0,-78.3,-21.0,94.9,171.0,-0.0,17.2,53.1,89.0,106.1
G59X,5F,G,5,V,173.0,96.5,-20.2,-78.4,-85.5,-106.8,-89.6,-53.7,-17.8,-0.7
G59X,5F,G,5A,V,-85.5,-79.2,-22.7,92.2,168.0,-0.7,16.5,52.4,88.3,105.5
G59X,5F,G,6,V,175.9,94.8,-110.9,43.0,114.1,-114.2,-97.1,-8.1,80.9,98.1
G59X,RF,G,2,V,77.1,2.0,-144.0,117.9,215.4,-106.1,-86.0,18.1,122.3,142.4
G59X,RF,G,3,V,200.1,113.2,-19.4,-85.7,-93.9,-125.2,-105.1,-63.1,-21.1,-1.0
G59X,RF,G,3A,V,-93.9,-86.8,-23.1,107.0,192.8,-1.0,19.1,61.1,103.1,123.2
G59X,RF,G,4,V,193.2,106.8,-24.5,-89.5,-97.1,-124.2,-104.1,-62.1,-20.1,0.0
G59X,RF,G,4A,V,-97.1,-89.5,-24.5,106.8,193.2,-0.0,20.1,62.1,104.1,124.2
G59X,RF,G,5,V,192.8,107.0,-23.1,-86.8,-93.9,-123.2,-103.1,-61.1,-19.1,1.0
G59X,RF,G,5A,V,-93.9,-85.7,-19.4,113.2,200.1,1.0,21.1,63.1,105.1,125.2
G59X,RF,G,6,V,215.4,117.9,-144.0,2.0,77.1,-142.4,-122.3,-18.1,86.0,106.1
G59Y,2F,1,B,V,53.1,27.9,-28.0,45.2,73.7,-44.5,-37.0,2.7,42.3,49.9
G004,2F,1,C,V,164.9,99.1,-21.1,-121.8,-163.8,-110.5,-103.0,-87.5,-72.1,-64.5
G005,2F,1,D,V,-163.8,0.0,-21.1,0.0,164.9,64.5,0.0,87.5,0.0,110.5
G59Y,2F,1,E,V,73.7,45.2,-28.0,27.9,53.1,-49.9,-42.3,-2.7,37.0,44.5
G59Y,3F,1,B,V,64.4,37.6,-29.5,27.2,52.0,-46.9,-39.7,-1.6,36.5,43.7
G004,3F,1,C,V,144.7,86.8,-17.9,-103.8,-138.9,-97.5,-90.3,-75.5,-60.7,-53.4
G005,3F,1,D,V,-138.9,0.0,-17.9,0.0,144.7,53.4,0.0,75.5,0.0,97.5
G59Y,3F,1,E,V,52.0,27.2,-29.5,37.6,64.4,-43.7,-36.5,1.6,39.7,46.9
G59Y,4F,1,B,V,72.1,44.1,-29.6,20.7,44.3,-48.9,-41.7,-3.6,34.5,41.7
G004,4F,1,C,V,143.3,85.3,-19.3,-105.2,-140.3,-97.5,-90.3,-75.5,-60.7,-53.4
G005,4F,1,D,V,-140.3,0.0,-19.3,0.0,143.3,53.4,0.0,75.5,0.0,97.5
G59Y,4F,1,E,V,44.3,20.7,-29.6,44.1,72.1,-41.7,-34.5,3.6,41.7,48.9
G59Y,5F,1,B,V,82.4,52.8,-29.0,13.1,35.1,-51.5,-44.2,-6.2,31.9,39.2
G004,5F,1,C,V,143.3,85.4,-19.3,-105.2,-140.3,-97.5,-90.3,-75.5,-60.7,-53.4
G005,5F,1,D,V,-140.3,0.0,-19.3,0.0,143.3,53.4,0.0,75.5,0.0,97.5
G59Y,5F,1,E,V,35.1,13.1,-29.0,52.8,82.4,-39.2,-31.9,6.2,44.2,51.5
G59Y,RF,1,B,V,68.9,34.1,-45.8,48.0,85.5,-61.5,-51.3,2.1,55.6,65.7
G004,RF,1,C,V,158.1,90.1,-29.6,-122.9,-158.9,-115.4,-105.2,-84.4,-63.6,-53.4
G005,RF,1,D,V,-158.9,0.0,-29.6,0.0,158.1,53.4,0.0,84.4,0.0,115.4
G59Y,RF,1,E,V,85.5,48.0,-45.8,34.1,68.9,-65.7,-55.6,-2.1,51.3,61.5
B34,2F,2,A,V,0.0,0.0,-33.8,0.0,0.0,-28.2,0.0,-0.0,0.0,28.1
B34,2F,2,B,V,0.0,0.0,-103.8,0.0,-0.0,-53.8,0.0,0.0,0.0,53.9
B20,2F,2,C,V,-0.0,0.0,-24.1,0.0,0.0,-25.7,0.0,0.0,0.0,25.7
B20,2F,2,D,V,0.0,0.0,-24.1,0.0,-0.0,-25.7,0.0,-0.0,0.0,25.7
B34,2F,2,E,V,-0.0,0.0,-103.8,0.0,0.0,-53.9,0.0,-0.0,0.0,53.8
B34,2F,2,F,V,0.0,0.0,-33.8,0.0,0.0,-28.1,0.0,0.0,0.0,28.2
B34,3F,2,A,V,-0.0,0.0,-32.4,0.0,0.0,-27.0,0.0,-0.0,0.0,26.9
B34,3F,2,B,V,0.0,0.0,-97.0,0.0,-0.0,-50.3,0.0,0.0,0.0,50.4
B20,3F,2,C,V,-0.0,0.0,-22.5,0.0,0.0,-24.0,0.0,0.0,0.0,24.0
B20,3F,2,D,V,0.0,0.0,-22.5,0.0,-0.0,-24.0,0.0,-0.0,0.0,24.0
B34,3F,2,E,V,-0.0,0.0,-97.0,0.0,0.0,-50.4,0.0,-0.0,0.0,50.3
B34,3F,2,F,V,0.0,0.0,-32.4,0.0,-0.0,-26.9,0.0,0.0,0.0,27.0
B34,4F,2,A,V,-0.0,0.0,-32.4,0.0,0.0,-27.0,0.0,-0.0,0.0,26.9
B34,4F,2,B,V,0.0,0.0,-97.0,0.0,-0.0,-50.3,0.0,0.0,0.0,50.4
B20,4F,2,C,V,-0.0,0.0,-22.5,0.0,0.0,-24.0,0.0,0.0,0.0,24.0
B20,4F,2,D,V,0.0,0.0,-22.5,0.0,-0.0,-24.0,0.0,-0.0,0.0,24.0
B34,4F,2,E,V,-0.0,0.0,-97.0,0.0,0.0,-50.4,0.0,-0.0,0.0,50.3
B34,4F,2,F,V,0.0,0.0,-32.4,0.0,-0.0,-26.9,0.0,0.0,0.0,27.0
B34,5F,2,A,V,-0.0,0.0,-32.4,0.0,0.0,-27.0,0.0,-0.0,0.0,26.9
B34,5F,2,B,V,0.0,0.0,-97.0,0.0,-0.0,-50.3,0.0,0.0,0.0,50.4
B20,5F,2,C,V,-0.0,0.0,-22.5,0.0,0.0,-24.0,0.0,0.0,0.0,24.0
B20,5F,2,D,V,0.0,0.0,-22.5,0.0,-0.0,-24.0,0.0,-0.0,0.0,24.0
B34,5F,2,E,V,-0.0,0.0,-97.0,0.0,0.0,-50.4,0.0,-0.0,0.0,50.3
B34,5F,2,F,V,0.0,0.0,-32.4,0.0,-0.0,-26.9,0.0,0.0,0.0,27.0
B34,RF,2,A,V,-0.0,0.0,-46.1,0.0,0.0,-38.4,0.0,-0.0,0.0,38.3
B34,RF,2,B,V,0.0,0.0,-97.0,0.0,-0.0,-50.3,0.0,0.0,0.0,50.4
B20,RF,2,C,V,-0.0,0.0,-22.5,0.0,0.0,-24.0,0.0,0.0,0.0,24.0
B20,RF,2,D,V,0.0,0.0,-22.5,0.0,-0.0,-24.0,0.0,-0.0,0.0,24.0
B34,RF,2,E,V,-0.0,0.0,-97.0,0.0,0.0,-50.4,0.0,-0.0,0.0,50.3
B34,RF,2,F,V,0.0,0.0,-46.1,0.0,-0.0,-38.3,0.0,0.0,0.0,38.4
G004,2F,3,A,V,0.0,-41.3,-129.8,-171.5,-175.0,-71.7,-62.7,-36.5,-10.2,-1.2
G005,2F,3,B,V,-175.0,0.0,-70.6,0.0,251.7,-1.2,0.0,55.3,0.0,111.7
G004,2F,3,C,V,72.9,46.8,10.6,-2.2,0.0,-46.7,-37.7,-19.4,-1.0,7.9
G005,2F,3,D,V,0.0,0.0,10.6,0.0,72.9,-7.9,0.0,19.4,0.0,46.7
G004,2F,3,E,V,251.7,185.6,-70.6,-172.9,-175.0,-111.7,-102.7,-55.3,-7.8,1.2
G005,2F,3,F,V,-175.0,0.0,-129.8,0.0,0.0,1.2,0.0,36.5,0.0,71.7
G004,3F,3,A,V,0.0,-38.8,-121.8,-160.8,-164.1,-67.3,-58.8,-34.2,-9.6,-1.1
G005,3F,3,B,V,-164.1,0.0,-66.2,0.0,236.1,-1.1,0.0,51.8,0.0,104.8
G004,3F,3,C,V,44.0,23.5,-2.2,-6.1,0.0,-37.3,-28.9,-11.7,5.5,13.9
G005,3F,3,D,V,0.0,0.0,-2.2,0.0,44.0,-13.9,0.0,11.7,0.0,37.3
G004,3F,3,E,V,236.1,174.1,-66.2,-162.2,-164.1,-104.8,-96.3,-51.8,-7.4,1.1
G005,3F,3,F,V,-164.1,0.0,-121.8,0.0,0.0,1.1,0.0,34.2,0.0,67.3
G004,4F,3,A,V,0.0,-38.9,-122.4,-162.0,-165.4,-67.6,-59.1,-34.5,-9.9,-1.4
G005,4F,3,B,V,-165.4,0.0,-68.5,0.0,232.7,-1.4,0.0,51.6,0.0,104.5
G004,4F,3,C,V,34.0,15.2,-7.2,-7.7,0.0,-34.6,-26.2,-9.0,8.2,16.6
G005,4F,3,D,V,0.0,0.0,-7.2,0.0,34.0,-16.6,0.0,9.0,0.0,34.6
G004,4F,3,E,V,232.7,170.9,-68.5,-163.6,-165.4,-104.5,-96.0,-51.6,-7.1,1.4
G005,4F,3,F,V,-165.4,0.0,-122.4,0.0,0.0,1.4,0.0,34.5,0.0,67.6
G004,5F,3,A,V,0.0,-38.9,-122.4,-162.0,-165.4,-67.6,-59.1,-34.5,-9.9,-1.4
G005,5F,3,B,V,-165.4,0.0,-68.6,0.0,232.7,-1.4,0.0,51.6,0.0,104.5
G004,5F,3,C,V,19.3,2.9,-14.6,-10.1,0.0,-30.7,-22.3,-5.1,12.1,20.5
G005,5F,3,D,V,0.0,0.0,-14.6,0.0,19.3,-20.5,0.0,5.1,0.0,30.7
G004,5F,3,E,V,232.7,170.8,-68.6,-163.7,-165.4,-104.5,-96.0,-51.6,-7.1,1.4
G005,5F,3,F,V,-165.4,0.0,-122.4,0.0,0.0,1.4,0.0,34.5,0.0,67.6
G004,RF,3,A,V,0.0,-39.9,-126.4,-168.8,-173.3,-69.2,-60.7,-36.1,-11.5,-3.0
G005,RF,3,B,V,-173.3,0.0,-82.7,0.0,212.2,-3.0,0.0,49.9,0.0,102.8
G004,RF,3,C,V,64.2,40.4,7.9,-2.8,0.0,-42.7,-34.3,-17.1,0.2,8.6
G005,RF,3,D,V,0.0,0.0,7.9,0.0,64.2,-8.6,0.0,17.1,0.0,42.7
G004,RF,3,E,V,212.2,151.3,-82.7,-172.6,-173.3,-102.8,-94.4,-49.9,-5.4,3.0
G005,RF,3,F,V,-173.3,0.0,-126.4,0.0,0.0,3.0,0.0,36.1,0.0,69.2
G004,2F,4,A,V,0.0,-41.5,-130.3,-172.4,-176.0,-72.0,-62.9,-36.7,-10.4,-1.4
G005,2F,4,B,V,-176.0,0.0,-72.5,0.0,248.9,-1.4,0.0,55.0,0.0,111.5
G004,2F,4,C,V,71.4,45.5,9.9,-2.4,0.0,-46.3,-37.3,-19.0,-0.6,8.3
G005,2F,4,D,V,0.0,0.0,9.9,0.0,71.4,-8.3,0.0,19.0,0.0,46.3
G004,2F,4,E,V,248.9,183.0,-72.5,-174.1,-176.0,-111.5,-102.5,-55.0,-7.6,1.4
G005,2F,4,F,V,-176.0,0.0,-130.3,0.0,0.0,1.4,0.0,36.7,0.0,72.0
G004,3F,4,A,V,0.0,-38.9,-122.3,-161.8,-165.2,-67.5,-59.0,-34.4,-9.8,-1.3
G005,3F,4,B,V,-165.2,0.0,-68.1,0.0,233.3,-1.3,0.0,51.6,0.0,104.5
G004,3F,4,C,V,36.8,17.5,-5.8,-7.2,0.0,-35.4,-27.0,-9.8,7.5,15.8
G005,3F,4,D,V,0.0,0.0,-5.8,0.0,36.8,-15.8,0.0,9.8,0.0,35.4
G004,3F,4,E,V,233.3,171.4,-68.1,-163.4,-165.2,-104.5,-96.1,-51.6,-7.1,1.3
G005,3F,4,F,V,-165.2,0.0,-122.3,0.0,0.0,1.3,0.0,34.4,0.0,67.5
G004,4F,4,A,V,0.0,-39.1,-123.0,-163.0,-166.6,-67.8,-59.3,-34.7,-10.1,-1.6
G005,4F,4,B,V,-166.6,0.0,-70.7,0.0,229.6,-1.6,0.0,51.3,0.0,104.2
G004,4F,4,C,V,22.9,5.9,-12.7,-9.5,0.0,-31.7,-23.3,-6.1,11.2,19.5
G005,4F,4,D,V,0.0,0.0,-12.7,0.0,22.9,-19.5,0.0,6.1,0.0,31.7
G004,4F,4,E,V,229.6,167.9,-70.7,-165.0,-166.6,-104.2,-95.8,-51.3,-6.8,1.6
G005,4F,4,F,V,-166.6,0.0,-123.0,0.0,0.0,1.6,0.0,34.7,0.0,67.8
G004,5F,4,A,V,0.0,-39.1,-123.0,-163.0,-166.6,-67.8,-59.3,-34.7,-10.1,-1.6
G005,5F,4,B,V,-166.6,0.0,-70.6,0.0,229.7,-1.6,0.0,51.3,0.0,104.2
G004,5F,4,C,V,6.4,-8.0,-21.0,-12.2,0.0,-27.2,-18.8,-1.6,15.6,24.0
G005,5F,4,D,V,0.0,0.0,-21.0,0.0,6.4,-24.0,0.0,1.6,0.0,27.2
G004,5F,4,E,V,229.7,168.0,-70.6,-164.9,-166.6,-104.2,-95.8,-51.3,-6.8,1.6
G005,5F,4,F,V,-166.6,0.0,-123.0,0.0,0.0,1.6,0.0,34.7,0.0,67.8
G004,RF,4,A,V,0.0,-40.2,-127.3,-170.5,-175.2,-69.6,-61.1,-36.5,-11.9,-3.4
G005,RF,4,B,V,-175.2,0.0,-86.2,0.0,207.2,-3.4,0.0,49.5,0.0,102.4
G004,RF,4,C,V,55.6,33.2,3.6,-4.1,0.0,-40.4,-32.0,-14.8,2.4,10.8
G005,RF,4,D,V,0.0,0.0,3.6,0.0,55.6,-10.8,0.0,14.8,0.0,40.4
G004,RF,4,E,V,207.2,146.6,-86.2,-174.7,-175.2,-102.4,-94.0,-49.5,-5.0,3.4
G005,RF,4,F,V,-175.2,0.0,-127.3,0.0,0.0,3.4,0.0,36.5,0.0,69.6
G004,2F,5,A,V,0.0,-41.5,-130.3,-172.4,-176.0,-72.0,-62.9,-36.7,-10.4,-1.4
G005,2F,5,B,V,-176.0,0.0,-72.5,0.0,248.9,-1.4,0.0,55.0,0.0,111.5
G004,2F,5,C,V,71.4,45.5,9.9,-2.4,0.0,-46.3,-37.3,-19.0,-0.6,8.3
G005,2F,5,D,V,0.0,0.0,9.9,0.0,71.4,-8.3,0.0,19.0,0.0,46.3
G004,2F,5,E,V,248.9,183.0,-72.5,-174.1,-176.0,-111.5,-102.5,-55.0,-7.6,1.4
G005,2F,5,F,V,-176.0,0.0,-130.3,0.0,0.0,1.4,0.0,36.7,0.0,72.0
G004,3F,5,A,V,0.0,-38.9,-122.3,-161.8,-165.2,-67.5,-59.0,-34.4,-9.8,-1.3
G005,3F,5,B,V,-165.2,0.0,-68.1,0.0,233.3,-1.3,0.0,51.6,0.0,104.5
G004,3F,5,C,V,36.8,17.5,-5.8,-7.2,0.0,-35.4,-27.0,-9.8,7.5,15.8
G005,3F,5,D,V,0.0,0.0,-5.8,0.0,36.8,-15.8,0.0,9.8,0.0,35.4
G004,3F,5,E,V,233.3,171.4,-68.1,-163.4,-165.2,-104.5,-96.1,-51.6,-7.1,1.3
G005,3F,5,F,V,-165.2,0.0,-122.3,0.0,0.0,1.3,0.0,34.4,0.0,67.5
G004,4F,5,A,V,0.0,-39.1,-123.0,-163.0,-166.6,-67.8,-59.3,-34.7,-10.1,-1.6
G005,4F,5,B,V,-166.6,0.0,-70.7,0.0,229.6,-1.6,0.0,51.3,0.0,104.2
G004,4F,5,C,V,22.9,5.9,-12.7,-9.5,0.0,-31.7,-23.3,-6.1,11.2,19.5
G005,4F,5,D,V,0.0,0.0,-12.7,0.0,22.9,-19.5,0.0,6.1,0.0,31.7
G004,4F,5,E,V,229.6,167.9,-70.7,-165.0,-166.6,-104.2,-95.8,-51.3,-6.8,1.6
G005,4F,5,F,V,-166.6,0.0,-123.0,0.0,0.0,1.6,0.0,34.7,0.0,67.8
G004,5F,5,A,V,0.0,-39.1,-123.0,-163.0,-166.6,-67.8,-59.3,-34.7,-10.1,-1.6
G005,5F,5,B,V,-166.6,0.0,-70.6,0.0,229.7,-1.6,0.0,51.3,0.0,104.2
G004,5F,5,C,V,6.4,-8.0,-21.0,-12.2,0.0,-27.2,-18.8,-1.6,15.6,24.0
G005,5F,5,D,V,0.0,0.0,-21.0,0.0,6.4,-24.0,0.0,1.6,0.0,27.2
G004,5F,5,E,V,229.7,168.0,-70.6,-164.9,-166.6,-104.2,-95.8,-51.3,-6.8,1.6
G005,5F,5,F,V,-166.6,0.0,-123.0,0.0,0.0,1.6,0.0,34.7,0.0,67.8
G004,RF,5,A,V,0.0,-40.2,-127.3,-170.5,-175.2,-69.6,-61.1,-36.5,-11.9,-3.4
G005,RF,5,B,V,-175.2,0.0,-86.2,0.0,207.2,-3.4,0.0,49.5,0.0,102.4
G004,RF,5,C,V,55.6,33.2,3.6,-4.1,0.0,-40.4,-32.0,-14.8,2.4,10.8
G005,RF,5,D,V,0.0,0.0,3.6,0.0,55.6,-10.8,0.0,14.8,0.0,40.4
G004,RF,5,E,V,207.2,146.6,-86.2,-174.7,-175.2,-102.4,-94.0,-49.5,-5.0,3.4
G005,RF,5,F,V,-175.2,0.0,-127.3,0.0,0.0,3.4,0.0,36.5,0.0,69.6
G004,2F,6,A,V,0.0,-41.3,-129.8,-171.5,-175.0,-71.7,-62.7,-36.5,-10.2,-1.2
